Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Nehemiah,3,11,"מדה שנית החזיק מלכיה בןחרם וחשוב בןפחת מואב ואת מגדל התנורים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Malchijah son of Harim and Hasshub son of Pahath-moab repaired a second stretch, including the Tower of Ovens. ",Ninguno
Nehemiah,3,12,"ועלידו החזיק שלום בןהלוחש שר חצי פלך ירושל͏ם הוא ובנותיו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to them,jthem Lit. “him.” Shallum son of Hallohesh,kHallohesh I.e., the charmer. chief of half the district of Jerusalem, repaired—he and his daughters. ",Ninguno
Nehemiah,3,13,את שער הגיא החזיק חנון וישבי זנוח המה בנוהו ויעמידו דלתתיו מנעליו ובריחיו ואלף אמה בחומה עד שער השפות,"Hanun and the inhabitants of Zanoah repaired the Valley Gate; they rebuilt it and set up its doors, locks, and bars. And [they also repaired] a thousand cubits of wall to the Dung Gate. ",Ninguno
Nehemiah,3,14,"ואת&thinsp;<b></b> שער האשפות החזיק מלכיה בןרכב שר פלך ביתהכרם הוא יבננו ויעמיד דלתתיו מנעליו ובריחיו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Malchijah son of Rechab, chief of the district of Beth-haccerem, repaired the Dung Gate; he rebuilt it and set up its doors, locks, and bars. ",Ninguno
Nehemiah,3,15,"ואת שער העין החזיק שלון בןכלחזה שר פלך המצפה הוא יבננו ויטללנו <span class=""mam-kq""><span class=""mam-kq-k"">(ויעמידו)</span> <span class=""mam-kq-q"">[ויעמיד]</span></span> דלתתיו מנעליו ובריחיו ואת חומת ברכת השלח לגןהמלך ועדהמעלות היורדות מעיר דויד&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Shallun son of Col-hozeh, chief of the district of Mizpah, repaired the Fountain Gate; he rebuilt it and covered it, and set up its doors, locks, and bars, as well as the wall of the irrigationlirrigation Following Kimhi; cf. Mishnaic Heb. bet hashelaḥin, irrigated field. pool of the King’s Garden as far as the steps going down from the City of David. ",Ninguno
Nehemiah,3,16,"אחריו החזיק נחמיה בןעזבוק שר חצי פלך ביתצור עדנגד קברי דויד ועדהברכה העשויה ועד בית הגברים&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","After him, Nehemiah son of Azbuk, chief of half the district of Beth-zur, repaired, from in front of the graves of David as far as the artificial pool, and as far as the House of the Warriors. ",Ninguno
Nehemiah,3,17,"אחריו החזיקו הלוים רחום בןבני&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;עלידו החזיק חשביה שרחציפלך קעילה לפלכו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","After him, the Levites repaired: Rehum son of Bani. Next to him, Hashabiah, chief of half the district of Keilah, repaired for his district. ",Ninguno
Nehemiah,3,18,"אחריו החזיקו אחיהם בוי בןחנדד שר חצי פלך קעילה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","After him, their brothers repaired: Bavvai son of Henadad, chief of half the district of Keilah. ",Ninguno
Nehemiah,3,19,"ויחזק עלידו עזר בןישוע שר המצפה מדה שנית מנגד עלת הנשק המקצע&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Next to him, Ezer son of Jeshua, the chief of Mizpah, repaired a second stretch, from in front of the ascent to the armory [at] the angle [of the wall]. ",Ninguno
Nehemiah,3,20,"אחריו החרה החזיק ברוך בן<span class=""mam-kq""><span class=""mam-kq-q"">[זכי]</span> <span class=""mam-kq-k"">(זבי)</span></span> מדה שנית מןהמקצוע עדפתח בית אלישיב הכהן הגדול&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","After him, Baruch son of Zaccai zealously repaired a second stretch, from the angle to the entrance to the house of Eliashib, the high priest. ",Ninguno
